type;size;time;
AdjacencyMatrix_heap;5;0.045;
AdjacencyMatrix_Array;5;0.033;
AdjacencyMatrix_List;5;0.046;
AdjacencyList_heap;5;0.033;
AdjacencyList_Array;5;0.032;
AdjacencyList_List;5;0.046;
EdgeList_heap;5;0.032;
EdgeList_Array;5;0.032;
EdgeList_List;5;0.044;
IncidenceMatrix_heap;5;0.028;
IncidenceMatrix_Array;5;0.028;
IncidenceMatrix_List;5;0.039;
AdjacencyMatrix_heap;5;0.035;
AdjacencyMatrix_Array;5;0.035;
AdjacencyMatrix_List;5;0.055;
AdjacencyList_heap;5;0.036;
AdjacencyList_Array;5;0.036;
AdjacencyList_List;5;0.071;
EdgeList_heap;5;0.045;
EdgeList_Array;5;0.038;
EdgeList_List;5;0.054;
IncidenceMatrix_heap;5;0.039;
IncidenceMatrix_Array;5;0.035;
IncidenceMatrix_List;5;0.07;
AdjacencyMatrix_heap;5;0.019;
AdjacencyMatrix_Array;5;0.019;
AdjacencyMatrix_List;5;0.023;
AdjacencyList_heap;5;0.019;
AdjacencyList_Array;5;0.019;
AdjacencyList_List;5;0.024;
EdgeList_heap;5;0.02;
EdgeList_Array;5;0.019;
EdgeList_List;5;0.024;
IncidenceMatrix_heap;5;0.019;
IncidenceMatrix_Array;5;0.019;
IncidenceMatrix_List;5;0.026;
AdjacencyMatrix_heap;5;0.03;
AdjacencyMatrix_Array;5;0.029;
AdjacencyMatrix_List;5;0.032;
AdjacencyList_heap;5;0.026;
AdjacencyList_Array;5;0.024;
AdjacencyList_List;5;0.034;
EdgeList_heap;5;0.024;
EdgeList_Array;5;0.025;
EdgeList_List;5;0.032;
IncidenceMatrix_heap;5;0.024;
IncidenceMatrix_Array;5;0.024;
IncidenceMatrix_List;5;0.033;
AdjacencyMatrix_heap;5;0.037;
AdjacencyMatrix_Array;5;0.036;
AdjacencyMatrix_List;5;0.062;
AdjacencyList_heap;5;0.036;
AdjacencyList_Array;5;0.046;
AdjacencyList_List;5;0.059;
EdgeList_heap;5;0.037;
EdgeList_Array;5;0.037;
EdgeList_List;5;0.058;
IncidenceMatrix_heap;5;0.038;
IncidenceMatrix_Array;5;0.038;
IncidenceMatrix_List;5;0.059;
AdjacencyMatrix_heap;5;0.036;
AdjacencyMatrix_Array;5;0.036;
AdjacencyMatrix_List;5;0.06;
AdjacencyList_heap;5;0.038;
AdjacencyList_Array;5;0.043;
AdjacencyList_List;5;0.065;
EdgeList_heap;5;0.039;
EdgeList_Array;5;0.044;
EdgeList_List;5;0.058;
IncidenceMatrix_heap;5;0.037;
IncidenceMatrix_Array;5;0.039;
IncidenceMatrix_List;5;0.059;
AdjacencyMatrix_heap;5;0.02;
AdjacencyMatrix_Array;5;0.024;
AdjacencyMatrix_List;5;0.025;
AdjacencyList_heap;5;0.02;
AdjacencyList_Array;5;0.021;
AdjacencyList_List;5;0.032;
EdgeList_heap;5;0.026;
EdgeList_Array;5;0.019;
EdgeList_List;5;0.024;
IncidenceMatrix_heap;5;0.026;
IncidenceMatrix_Array;5;0.019;
IncidenceMatrix_List;5;0.025;
AdjacencyMatrix_heap;5;0.036;
AdjacencyMatrix_Array;5;0.038;
AdjacencyMatrix_List;5;0.056;
AdjacencyList_heap;5;0.038;
AdjacencyList_Array;5;0.042;
AdjacencyList_List;5;0.082;
EdgeList_heap;5;0.043;
EdgeList_Array;5;0.059;
EdgeList_List;5;0.061;
IncidenceMatrix_heap;5;0.038;
IncidenceMatrix_Array;5;0.037;
IncidenceMatrix_List;5;0.058;
AdjacencyMatrix_heap;5;0.036;
AdjacencyMatrix_Array;5;0.036;
AdjacencyMatrix_List;5;0.056;
AdjacencyList_heap;5;0.036;
AdjacencyList_Array;5;0.037;
AdjacencyList_List;5;0.057;
EdgeList_heap;5;0.046;
EdgeList_Array;5;0.047;
EdgeList_List;5;0.059;
IncidenceMatrix_heap;5;0.038;
IncidenceMatrix_Array;5;0.038;
IncidenceMatrix_List;5;0.072;
AdjacencyMatrix_heap;5;0.037;
AdjacencyMatrix_Array;5;0.037;
AdjacencyMatrix_List;5;0.056;
AdjacencyList_heap;5;0.037;
AdjacencyList_Array;5;0.037;
AdjacencyList_List;5;0.057;
EdgeList_heap;5;0.037;
EdgeList_Array;5;0.037;
EdgeList_List;5;0.075;
IncidenceMatrix_heap;5;0.037;
IncidenceMatrix_Array;5;0.037;
IncidenceMatrix_List;5;0.057;
AdjacencyMatrix_heap;5;0.046;
AdjacencyMatrix_Array;5;0.036;
AdjacencyMatrix_List;5;0.056;
AdjacencyList_heap;5;0.037;
AdjacencyList_Array;5;0.037;
AdjacencyList_List;5;0.056;
EdgeList_heap;5;0.037;
EdgeList_Array;5;0.037;
EdgeList_List;5;0.084;
IncidenceMatrix_heap;5;0.039;
IncidenceMatrix_Array;5;0.044;
IncidenceMatrix_List;5;0.061;
AdjacencyMatrix_heap;5;0.037;
AdjacencyMatrix_Array;5;0.036;
AdjacencyMatrix_List;5;0.057;
AdjacencyList_heap;5;0.038;
AdjacencyList_Array;5;0.038;
AdjacencyList_List;5;0.057;
EdgeList_heap;5;0.037;
EdgeList_Array;5;0.037;
EdgeList_List;5;0.058;
IncidenceMatrix_heap;5;0.038;
IncidenceMatrix_Array;5;0.037;
IncidenceMatrix_List;5;0.074;
AdjacencyMatrix_heap;5;0.05;
AdjacencyMatrix_Array;5;0.036;
AdjacencyMatrix_List;5;0.057;
AdjacencyList_heap;5;0.038;
AdjacencyList_Array;5;0.038;
AdjacencyList_List;5;0.08;
EdgeList_heap;5;0.037;
EdgeList_Array;5;0.038;
EdgeList_List;5;0.067;
IncidenceMatrix_heap;5;0.042;
IncidenceMatrix_Array;5;0.042;
IncidenceMatrix_List;5;0.061;
AdjacencyMatrix_heap;5;0.036;
AdjacencyMatrix_Array;5;0.036;
AdjacencyMatrix_List;5;0.056;
AdjacencyList_heap;5;0.039;
AdjacencyList_Array;5;0.036;
AdjacencyList_List;5;0.057;
EdgeList_heap;5;0.037;
EdgeList_Array;5;0.037;
EdgeList_List;5;0.056;
IncidenceMatrix_heap;5;0.037;
IncidenceMatrix_Array;5;0.037;
IncidenceMatrix_List;5;0.057;
AdjacencyMatrix_heap;5;0.037;
AdjacencyMatrix_Array;5;0.037;
AdjacencyMatrix_List;5;0.059;
AdjacencyList_heap;5;0.038;
AdjacencyList_Array;5;0.039;
AdjacencyList_List;5;0.059;
EdgeList_heap;5;0.039;
EdgeList_Array;5;0.039;
EdgeList_List;5;0.06;
IncidenceMatrix_heap;5;0.04;
IncidenceMatrix_Array;5;0.049;
IncidenceMatrix_List;5;0.068;
AdjacencyMatrix_heap;5;0.038;
AdjacencyMatrix_Array;5;0.038;
AdjacencyMatrix_List;5;0.057;
AdjacencyList_heap;5;0.038;
AdjacencyList_Array;5;0.037;
AdjacencyList_List;5;0.059;
EdgeList_heap;5;0.041;
EdgeList_Array;5;0.04;
EdgeList_List;5;0.073;
IncidenceMatrix_heap;5;0.041;
IncidenceMatrix_Array;5;0.041;
IncidenceMatrix_List;5;0.066;
AdjacencyMatrix_heap;5;0.04;
AdjacencyMatrix_Array;5;0.043;
AdjacencyMatrix_List;5;0.064;
AdjacencyList_heap;5;0.042;
AdjacencyList_Array;5;0.065;
AdjacencyList_List;5;0.08;
EdgeList_heap;5;0.04;
EdgeList_Array;5;0.051;
EdgeList_List;5;0.064;
IncidenceMatrix_heap;5;0.043;
IncidenceMatrix_Array;5;0.043;
IncidenceMatrix_List;5;0.093;
AdjacencyMatrix_heap;5;0.06;
AdjacencyMatrix_Array;5;0.069;
AdjacencyMatrix_List;5;0.079;
AdjacencyList_heap;5;0.035;
AdjacencyList_Array;5;0.042;
AdjacencyList_List;5;0.072;
EdgeList_heap;5;0.048;
EdgeList_Array;5;0.049;
EdgeList_List;5;0.064;
IncidenceMatrix_heap;5;0.057;
IncidenceMatrix_Array;5;0.045;
IncidenceMatrix_List;5;0.093;
AdjacencyMatrix_heap;5;0.074;
AdjacencyMatrix_Array;5;0.077;
AdjacencyMatrix_List;5;0.062;
AdjacencyList_heap;5;0.049;
AdjacencyList_Array;5;0.043;
AdjacencyList_List;5;0.067;
EdgeList_heap;5;0.043;
EdgeList_Array;5;0.042;
EdgeList_List;5;0.066;
IncidenceMatrix_heap;5;0.072;
IncidenceMatrix_Array;5;0.076;
IncidenceMatrix_List;5;0.09;
AdjacencyMatrix_heap;5;0.041;
AdjacencyMatrix_Array;5;0.046;
AdjacencyMatrix_List;5;0.067;
AdjacencyList_heap;5;0.041;
AdjacencyList_Array;5;0.046;
AdjacencyList_List;5;0.07;
EdgeList_heap;5;0.042;
EdgeList_Array;5;0.044;
EdgeList_List;5;0.064;
IncidenceMatrix_heap;5;0.039;
IncidenceMatrix_Array;5;0.047;
IncidenceMatrix_List;5;0.064;
AdjacencyMatrix_heap;5;0.035;
AdjacencyMatrix_Array;5;0.04;
AdjacencyMatrix_List;5;0.071;
AdjacencyList_heap;5;0.04;
AdjacencyList_Array;5;0.041;
AdjacencyList_List;5;0.06;
EdgeList_heap;5;0.039;
EdgeList_Array;5;0.039;
EdgeList_List;5;0.059;
IncidenceMatrix_heap;5;0.037;
IncidenceMatrix_Array;5;0.042;
IncidenceMatrix_List;5;0.061;
AdjacencyMatrix_heap;5;0.038;
AdjacencyMatrix_Array;5;0.052;
AdjacencyMatrix_List;5;0.066;
AdjacencyList_heap;5;0.058;
AdjacencyList_Array;5;0.038;
AdjacencyList_List;5;0.065;
EdgeList_heap;5;0.039;
EdgeList_Array;5;0.038;
EdgeList_List;5;0.06;
IncidenceMatrix_heap;5;0.042;
IncidenceMatrix_Array;5;0.041;
IncidenceMatrix_List;5;0.104;
AdjacencyMatrix_heap;5;0.044;
AdjacencyMatrix_Array;5;0.039;
AdjacencyMatrix_List;5;0.059;
AdjacencyList_heap;5;0.035;
AdjacencyList_Array;5;0.039;
AdjacencyList_List;5;0.063;
EdgeList_heap;5;0.036;
EdgeList_Array;5;0.039;
EdgeList_List;5;0.058;
IncidenceMatrix_heap;5;0.043;
IncidenceMatrix_Array;5;0.042;
IncidenceMatrix_List;5;0.061;
AdjacencyMatrix_heap;5;0.038;
AdjacencyMatrix_Array;5;0.037;
AdjacencyMatrix_List;5;0.057;
AdjacencyList_heap;5;0.038;
AdjacencyList_Array;5;0.038;
AdjacencyList_List;5;0.059;
EdgeList_heap;5;0.039;
EdgeList_Array;5;0.039;
EdgeList_List;5;0.06;
IncidenceMatrix_heap;5;0.04;
IncidenceMatrix_Array;5;0.043;
IncidenceMatrix_List;5;0.063;
AdjacencyMatrix_heap;5;0.026;
AdjacencyMatrix_Array;5;0.023;
AdjacencyMatrix_List;5;0.024;
AdjacencyList_heap;5;0.021;
AdjacencyList_Array;5;0.022;
AdjacencyList_List;5;0.026;
EdgeList_heap;5;0.021;
EdgeList_Array;5;0.026;
EdgeList_List;5;0.026;
IncidenceMatrix_heap;5;0.022;
IncidenceMatrix_Array;5;0.026;
IncidenceMatrix_List;5;0.032;
AdjacencyMatrix_heap;5;0.021;
AdjacencyMatrix_Array;5;0.022;
AdjacencyMatrix_List;5;0.025;
AdjacencyList_heap;5;0.021;
AdjacencyList_Array;5;0.02;
AdjacencyList_List;5;0.025;
EdgeList_heap;5;0.026;
EdgeList_Array;5;0.02;
EdgeList_List;5;0.025;
IncidenceMatrix_heap;5;0.021;
IncidenceMatrix_Array;5;0.021;
IncidenceMatrix_List;5;0.028;
AdjacencyMatrix_heap;5;0.029;
AdjacencyMatrix_Array;5;0.036;
AdjacencyMatrix_List;5;0.034;
AdjacencyList_heap;5;0.027;
AdjacencyList_Array;5;0.034;
AdjacencyList_List;5;0.036;
EdgeList_heap;5;0.027;
EdgeList_Array;5;0.029;
EdgeList_List;5;0.037;
IncidenceMatrix_heap;5;0.03;
IncidenceMatrix_Array;5;0.025;
IncidenceMatrix_List;5;0.039;
AdjacencyMatrix_heap;5;0.021;
AdjacencyMatrix_Array;5;0.073;
AdjacencyMatrix_List;5;0.065;
AdjacencyList_heap;5;0.024;
AdjacencyList_Array;5;0.023;
AdjacencyList_List;5;0.028;
EdgeList_heap;5;0.043;
EdgeList_Array;5;0.026;
EdgeList_List;5;0.028;
IncidenceMatrix_heap;5;0.023;
IncidenceMatrix_Array;5;0.06;
IncidenceMatrix_List;5;0.031;
AdjacencyMatrix_heap;5;0.039;
AdjacencyMatrix_Array;5;0.039;
AdjacencyMatrix_List;5;0.088;
AdjacencyList_heap;5;0.063;
AdjacencyList_Array;5;0.038;
AdjacencyList_List;5;0.102;
EdgeList_heap;5;0.039;
EdgeList_Array;5;0.037;
EdgeList_List;5;0.067;
IncidenceMatrix_heap;5;0.051;
IncidenceMatrix_Array;5;0.069;
IncidenceMatrix_List;5;0.056;
AdjacencyMatrix_heap;5;0.054;
AdjacencyMatrix_Array;5;0.035;
AdjacencyMatrix_List;5;0.045;
AdjacencyList_heap;5;0.051;
AdjacencyList_Array;5;0.023;
AdjacencyList_List;5;0.042;
EdgeList_heap;5;0.024;
EdgeList_Array;5;0.029;
EdgeList_List;5;0.047;
IncidenceMatrix_heap;5;0.023;
IncidenceMatrix_Array;5;0.021;
IncidenceMatrix_List;5;0.036;
